Classifier,Evaluation Metric,G-SMOTE,Proposed
DT,Accuracy,0.535 $\pm$ 0.135,0.511 $\pm$ 0.144
DT,F-score,0.505 $\pm$ 0.05,\textbf{0.484 $\pm$ 0.067}
DT,G-mean,0.524 $\pm$ 0.107,\textbf{0.499 $\pm$ 0.116}
KNN,Accuracy,0.514 $\pm$ 0.131,0.507 $\pm$ 0.137
KNN,F-score,\textbf{0.484 $\pm$ 0.07},\textbf{0.482 $\pm$ 0.099}
KNN,G-mean,0.511 $\pm$ 0.149,0.503 $\pm$ 0.157
LR,Accuracy,\textbf{0.433 $\pm$ 0.235},\textbf{0.322 $\pm$ 0.401}
LR,F-score,\textbf{0.315 $\pm$ 0.211},\textbf{0.173 $\pm$ 0.38}
LR,G-mean,\textbf{0.422 $\pm$ 0.232},\textbf{0.329 $\pm$ 0.357}
RF,Accuracy,0.507 $\pm$ 0.093,0.500 $\pm$ 0.091
RF,F-score,\textbf{0.476 $\pm$ 0.016},\textbf{0.468 $\pm$ 0.03}
RF,G-mean,0.557 $\pm$ 0.256,0.552 $\pm$ 0.264
