Classifier,Evaluation Metric,MP,Standard,Oversampling,Proposed
DT,Accuracy,0.809 $\pm$ 0.086,0.802 $\pm$ 0.089,0.806 $\pm$ 0.089,\textbf{0.812 $\pm$ 0.087}
DT,F-score,0.774 $\pm$ 0.107,0.772 $\pm$ 0.096,0.775 $\pm$ 0.101,\textbf{0.781 $\pm$ 0.103}
DT,G-mean,0.853 $\pm$ 0.081,0.854 $\pm$ 0.069,0.860 $\pm$ 0.067,\textbf{0.864 $\pm$ 0.068}
KNN,Accuracy,0.882 $\pm$ 0.085,\textbf{0.883 $\pm$ 0.087},0.877 $\pm$ 0.087,0.881 $\pm$ 0.093
KNN,F-score,0.848 $\pm$ 0.116,0.849 $\pm$ 0.115,0.847 $\pm$ 0.118,\textbf{0.852 $\pm$ 0.121}
KNN,G-mean,0.896 $\pm$ 0.094,0.899 $\pm$ 0.09,0.904 $\pm$ 0.078,\textbf{0.907 $\pm$ 0.08}
LR,Accuracy,0.855 $\pm$ 0.074,\textbf{0.870 $\pm$ 0.073},0.858 $\pm$ 0.077,\textbf{0.870 $\pm$ 0.076}
LR,F-score,0.812 $\pm$ 0.113,0.835 $\pm$ 0.105,0.825 $\pm$ 0.106,\textbf{0.838 $\pm$ 0.106}
LR,G-mean,0.875 $\pm$ 0.099,0.895 $\pm$ 0.075,0.899 $\pm$ 0.059,\textbf{0.907 $\pm$ 0.059}
RF,Accuracy,0.897 $\pm$ 0.08,0.905 $\pm$ 0.078,0.904 $\pm$ 0.078,\textbf{0.906 $\pm$ 0.077}
RF,F-score,0.867 $\pm$ 0.107,\textbf{0.877 $\pm$ 0.103},0.875 $\pm$ 0.108,\textbf{0.877 $\pm$ 0.108}
RF,G-mean,0.911 $\pm$ 0.081,0.917 $\pm$ 0.078,0.923 $\pm$ 0.067,\textbf{0.925 $\pm$ 0.065}
