Classifier,G-mean Score,NONE,SMOTE,G-SMOTE
KNN,60\%,0.040,\textbf{0.021},\textbf{0.021}
KNN,65\%,0.056,\textbf{0.027},0.028
KNN,70\%,0.079,\textbf{0.037},0.041
KNN,75\%,0.135,\textbf{0.060},0.071
KNN,80\%,0.244,\textbf{0.133},0.169
KNN,85\%,0.298,\textbf{0.219},0.236
KNN,90\%,0.410,\textbf{0.356},0.361
KNN,95\%,0.713,\textbf{0.648},0.691
LR,60\%,0.022,\textbf{0.020},0.021
LR,65\%,0.030,\textbf{0.027},\textbf{0.027}
LR,70\%,0.042,0.042,\textbf{0.041}
LR,75\%,0.072,0.067,\textbf{0.066}
LR,80\%,0.131,0.121,\textbf{0.117}
LR,85\%,0.198,0.196,\textbf{0.188}
LR,90\%,0.281,0.252,\textbf{0.248}
LR,95\%,0.458,0.428,\textbf{0.402}
RF,60\%,0.022,\textbf{0.021},\textbf{0.021}
RF,65\%,0.031,\textbf{0.026},\textbf{0.026}
RF,70\%,0.045,0.038,\textbf{0.036}
RF,75\%,0.066,0.057,\textbf{0.054}
RF,80\%,0.116,0.093,\textbf{0.092}
RF,85\%,0.231,0.176,\textbf{0.173}
RF,90\%,0.371,0.318,\textbf{0.303}
RF,95\%,0.646,0.672,\textbf{0.622}
